Location;Province;Genus;species.clone;type.of.sample;Asymptomatic.diseased;Nursery.Field;Roots;Root.Collar;Stem;Growth.tip;Needles.Leaves;results
;;Pinus;elliotti;;D;FNF;;;;;;S sapinea
;NA;Pinus;patula;Seed;D;FNF;;;;;;F oxy
;;Eucalyptu;;;D;F;;;;;;Mycosphaerella
;;Acacia;mearnsii;Seed;D;F;;;;;;NA
Sabie;;Pinus;NA;root,Seed;D;F;;;;;;Armilaria
Greytown;;Pinus;;Seed;D;FNF;;;;;;Fusarium
Lothair;;Pinus;radiata;Cuttings;D;F;;;;;;Cylindrocladiumsp
Lothair;;Pinus;radiata;Cuttings;D;F;;;;;;F oxy
Lothair;;Pinus;radiata;Cuttings;D;F;;;;;;F oxy
;;;;leaves;D;FNF;;;;;;inconclusive
;;;;Cuttings;D;FNF;;;;;; Pestalotiopsis, FSP,  Alternaria, trichoderma sp
;;;;Water;D;FNF;;;;;;Fusarium
;;;;Water;D;FNF;;;;;;NA
;;;;Water;D;FNF;;;;;; Pestalotiopsis
;;;;Water;A;FNF;;;;;;saprohytes
SABIE;;;;NA;D;F;;;;;;bacterium
Bulwer;;Pinus;patula;Seed, growth media, Seed;D;FNF;;;;;;FSP
NA;;Eucalyptu;;;D;FNF;;;;;;Powdery mildew
NA;;;;;D;F;;;;;;FSP sp,Mycosphaerellaand    Cytospora sp sp
;;Acacia;mearnsii;;D;F;;;;;;NA
Normandien;;Eucalyptu;dunni;;D;F;;;;;;   Cytospora sp sp
;;Pinus;elliotti;;D;F;;;;;;Phytophthora
Longridge Estate;;Acacia;mearnsii;;D;F;;;;;;bot andFusarium
;;Pinus;patula;Seed;D;FNF;;;;;;F oxysporum  andF subglutinans
Tweefontein;;Pinus;patula;Soil,Seed,Seed,root;D;FNF;;;;;;FSP
;;Pinus;patula;Seed;D;FNF;;;;;;F oxysporum  andF subglutinans
Tweefontein;;Pinus;patula;Seed;D;FNF;;;;;;FSP
Tweefontein;;Pinus;greggi;Seed;D;FNF;;;;;;FSP
Pinewood;;Pinus;patula;Seed;D;FNF;;;;;;saprohytes
;;Rhus;;;D;FNF;;;;;; phoma sp
;;NA;;;D;FNF;;;;;;Fusariump
;;;10 C;;D;F;;;;;;inconclusive
Belfast;;Pinus;greggi;Seed;D;F;;;;;;FSP
Kwambonambi;Kwazulu-Natal;;;foliage;D;F;;;;;;NA
;;Eucalyptu;grandi;;D;F;;;;;;NA
Teza;;Pinus;patula;Soil, Seed;D;FNF;;;;;;FSP
New Scotland plantation;;Pinus;patula;Seed;D;FNF;;;;;;F oxysporum  
Ixopo;;Eucalyptu;NA;Seed,root,foliage;D;F;;;;;;NA
Tweefontein;;Pinus;;Seed;D;FNF;;;;;;NA
Tweefontein;;Pinus;elliotti;Seed;D;FNF;;;;;;NA
Tweefontein;;Pinus;patula;Seed;D;FNF;;;;;;NA
;;;;NA;A;F;;;;;;saprohytes
;;Eucalyptu;;Seed;D;FNF;;;;;;inconclusive
;;NA;;;D;F;;;;;;NA
NA;Kwazulu-Natal;Eucalyptu;;foliage;D;F;;;;;;NA
Paulpietersburg;;Acacia;mearnsii;;D;F;;;;;;Phytophthora
;;Eucalyptu;;;D;F;;;;;;Phytophthora
Longridge Estate;;Acacia;mearnsii;;D;F;;;;;;FSP sp andPhytophthora
Commondale;;Acacia;mearnsii;;D;F;;;;;;FSP sp andPhytophthora
;;Eucalyptu;, , U,,grandi,saligna,;foliage,Seed;D;F;;;;;;Phaeseptoria eucalyptii
Kwambonambi;Kwazulu-Natal;Eucalyptu;grandi;;D;F;;;;;;Sporothrix eucalypti
;;Eucalyptu;grandi;Cuttings;D;F;;;;;;NA
;;Pinus;patula;Cuttings;D;FNF;;;;;;F oxysporum  andF subglutinana
;;Eucalyptu;;foliage;D;FNF;;;;;;NA
NA;;Eucalyptu;dunni;Seed;A;FNF;;;;;;inconclusive
NA;;Pinus;elliotti;Seed;A;FNF;;;;;;NA
Wilgeboom;;Pinus;patula;Hedge;D;F;;;;;;S sapinea
Bergvliet;;Pinus;NA;Hedge;D;F;;;;;;Fusarium
Fankfort;;Pinus;;Hedge;D;F;;;;;;Fusarium
Witwater;;;;bark samples;D;F;;;;;;Fusarium
Greytown;;Eucalyptu;nitens;;D;F;;;;;;Mycosphaerellasp
PMB;;Eucalyptu;grandi;leaves,Seed;D;F;;;;;;Mycosphaerellasp
South Wood nusery;;Eucalyptu;;Cuttings;D;FNF;;;;;;Cylindrocladiumsp
Oshoek road;;Eucalyptu;nitens;coppice;D;F;;;;;;  B dothidea
;;Eucalyptu;nitens;leaves;D;F;;;;;;Mycosphaerella
;;Eucalyptu;grandi;leaves;D;F;;;;;;NA
;;Eucalyptu;nitens;leaves, Seed top;D;F;;;;;;Mycosphaerellasp
;;Eucalyptu;;leaves,Seed;D;F;;;;;;NA
Harding;;Eucalyptu;grandi;Seed, root,leavesSeed;D;F;;;;;;NA
Harding;;Acacia;mearnsii;Seed;D;F;;;;;;saprohytes
Northingham road;;NA;;Seed, Seed;D;F;;;;;;inconclusive
;;NA;NA;NA;A;F;;;;;;NA
;Kwazulu-Natal;Eucalyptu;macarthuri;Seed,leaves,Seed;D;F;;;;;;  B dothidea
NA;NA;;1;leaves;D;F;;;;;;NA
;;Eucalyptu;;Cuttings;A;F;;;;;;saprohytes
Rattray Estate;;;;Seed;D;F;;;;;;  B dothidea
Rattray Estate;;;;Seed;D;F;;;;;;  B dothidea
Ugie;Kwazulu-Natal;NA;;Seed;D;F;;;;;;NA
Lois Trichardt;;Pinus;patula;Seed;D;FNF;;;;;;F subglutinans
Citimba;;Pinus;patula;Seedgs;D;FNF;;;;;;F subglutinans
Beaufort West;;Olive;;;D;F;;;;;;FSPrytis, Cladosporium sp,  Epicoccum, Alternaria
Dukuduku;;Pinus;;Seed;D;FNF;;;;;;S sapinea
Dukuduku;;Pinus;elliotti;NA;D;FNF;;;;;;inconclusive
Shaw research centre;Kwazulu-Natal;Pinus;patula;Soil,Seed,root,foliage,Seed;D;FNF;;;;;;S sapinea
;;Eucalyptu;grandi;Seed;D;F;;;;;;saprohytes
CTC;;Eucalyptu;dunni;foliage;D;F;;;;;;inconclusive
;;Pinus;patula;Soil,Seed,Water;D;FNF;;;;;;F oxysporum 
Dukuduku;;Pinus;elliotti;Graft;D;FNF;;;;;;S sapinea
Mooi Rivier;;Eucalyptu;nitens;Seed,foliage,root;A;F;;;;;;Mycosphaerella
NA;Kwazulu-Natal;Acacia;mearnsii;;D;F;;;;;;NA
;;Eucalyptu;NA;;D;F;;;;;;bacterium
;NA;Eucalyptu;;leaves;D;F;;;;;;bacterium
Tweefontein;;Pinus;greggi;Seed;D;FNF;;;;;;F subglutinans
Ixopo;Kwazulu-Natal;Pinus;;Seed;D;FNF;;;;;;F subglutinans
NA;;Acacia;mearnsii;Branch,growthSeed;D;F;;;;;;  B dothidea
Louwsburg;;Eucalyptu;grandi;leaves;D;F;;;;;;bactrerial blight
Sarnia plantation;;Pinus;;Seed;D;FNF;;;;;;saprohytes
;;Pinus;taeda;;D;FNF;;;;;;S sapinea
;;Pinus;patula;;D;FNF;;;;;;S sapinea
;;;NA;Cuttings;D;F;;;;;;Cylindrocladiumsp
;;Eucalyptu;NA;;D;F;;;;;;Phytophthora
;;Eucalyptu;dunni;;D;F;;;;;;Phytophthora
Mtubutuba;;Pinus;;Seed;D;F;;;;;;S sapinea
Tweefontein;;Pinus;;NA;D;F;;;;;;S sapinea
Dukuduku;Kwazulu-Natal;;;;A;F;;;;;;Pythium
Pigs peak;NA;Eucalyptu;;;D;F;;;;;;NA
;;Eucalyptu;clone;Seed,root;D;F;;;;;;  B dothidea
;;;1;;D;F;;;;;;  B dothidea
;;;5;;A;F;;;;;;  B dothidea
;;Eucalyptu;grandi;;D;F;;;;;;bactrerial blight
NA;Kwazulu-Natal;;;root;D;F;;;;;;NA
Commondale;Mpumalanga;Acacia;mearnsii;;D;F;;;;;;NA
;;;;root;D;F;;;;;;FSP
;;NA;;;D;F;;;;;;NA
NA;;Acacia;mearnsii;;D;F;;;;;;  B dothidea
NA;PE;NA;;;D;F;;;;;;saprohytes
PMB;;;;;D;F;;;;;;NA
Normandien;;Eucalyptu;dunni;;D;F;;;;;;  Cytospora sp
NA;;Acacia;mearnsii;;D;F;;;;;;bot andFusarium
Luneburg;;Acacia;mearnsii;;D;F;;;;;;bot andFusarium
Piet Retief;;Pinus;elliotti;;D;F;;;;;;oomycete
NA;;Pinus;patula;Seed;D;FNF;;;;;;F subglutinans
NA;;Pinus;patula;Seed;D;FNF;;;;;;F subglutinans
NA;;Pinus;patula;Seed;D;FNF;;;;;;F subglutinans
NA;;Pinus;patula;Seed;A;FNF;;;;;;F subglutinans
NA;;Pinus;patula;Seed;D;FNF;;;;;;F subglutinans
NA;;Pinus;patula;Seed;D;FNF;;;;;;F subglutinans
;;;9;foliage;D;F;;;;;;Pantoea sp    sp 
;;;10;foliage;D;F;;;;;;Pantoea sp    sp 
Spitskop plantation;;Pinus;patula;Seed;D;F;;;;;;S sapinea
;;Acacia;mearnsii;Seed;D;FNF;;;;;;saprohytes
Melmoth;;Eucalyptu;;foliage;D;F;;;;;;NA
NA;NA;Pinus;taeda;Seed;D;FNF;;;;;;F subglutinans
NA;NA;Pinus;patula;Graft;D;F;;;;;;S sapinea
NA;NA;Pinus;patula;;D;F;;;;;;F subglutinans
NA;NA;Pinus;elliottixcaribaea;;D;F;;;;;;F subglutinans
Kwambonambi;Kwazulu-Natal;;H 00,0,00;root;D;F;;;;;;F subglutinans
Kwambonambi;Kwazulu-Natal;;H;Hedge;D;F;;;;;;S sapinea
Ngodwana;Kwazulu-Natal;Pinus;;foliage,Seed,root;D;F;;;;;;Fusarium
Driekop plantation;;NA;;insect;D;F;;;;;;Fusarium
NA;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;F subglutinans
Kranskop;;Acacia;mearnsii;Seed;D;F;;;;;;FSP sp
Kiepersol;;NA;;Seed;D;F;;;;;;  Alternaria, Restolotiopsis sp,FSPrysphearia
Melmoth;;Eucalyptu;;foliage;D;F;;;;;;NA
Commondale;Kwazulu-Natal;Acacia;mearnsii;Seed,foliage;D;F;;;;;;FSP 
NA;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;F subglutinans
Underberg;;NA;;Soil,root;D;F;;;;;;Pythium
Ixopo plantation;;Eucalyptu;grandi;foliage,Seed;D;F;;;;;;bacterium
Ixopo plantation;;Eucalyptu;NA;Seed,root,foliage;D;F;;;;;;bacterium
Ngodwana;Kwazulu-Natal;Eucalyptu;macarthuri;root;D;F;;;;;;Pythium,   B dothidea
NA;Kwazulu-Natal;Eucalyptu;grandi;foliage;D;F;;;;;;bacterium
Kwambonambi;Kwazulu-Natal;Eucalyptu;;Seed, root;D;F;;;;;;Pythium,   B dothidea
Kwambonambi;Kwazulu-Natal;Eucalyptu;6,;Seed,Seed;D;F;;;;;;  B dothidea
Sabie;Kwazulu-Natal;Pinus;patula;Cuttings, growth media;D;F;;;;;;Fusarium
Sabie;Kwazulu-Natal;Eucalyptu;;Hedge;D;F;;;;;;Cylindrocladium, Nectria sp
Sabie;Kwazulu-Natal;Pinus;;Cuttings;D;F;;;;;;F sub
;;Eucalyptu;NA;Seed, root;D;F;;;;;;P cinnamomi,   B dothidea
;;Acacia;mearnsii;Seed;D;F;;;;;;FSPrysphearia,C albifundus
Melmoth;;Eucalyptu;;Seed,root,foliage;A;F;;;;;;Phytophthora
Barbeton;;Pinus;taeda;Seed;D;F;;;;;;S sapinea
Umhlanga rocks;;Pinus;patula;Seed;D;FNF;;;;;;F sub
Kwambonambi;Kwazulu-Natal;Eucalyptu;;Seed;D;F;;;;;;P eucalypti
Ngodwana;Kwazulu-Natal;Eucalyptu;nitens;Seed;D;FNF;;;;;;C gleosporiodes
Ngodwana;Kwazulu-Natal;Eucalyptu;nitens;Seed;D;FNF;;;;;;C gleosporiodes
Ngodwana;Kwazulu-Natal;Eucalyptu;nitens;Seed;D;FNF;;;;;;C gleosporiodes
;;Eucalyptu;nitens;Seed,root,Seed;D;FNF;;;;;;Mycosphaerella
Piet Retief;;Pinus;greggi;Seed;D;FNF;;;;;;Fusarium
Piet Retief;;Pinus;patula;Seed;D;FNF;;;;;; Alternaria
NA;;Pinus;elliotti andpatula;Seed;D;FNF;;;;;;F cir
NA;Kwazulu-Natal;Eucalyptu;grandi;Seed,root,Seed;D;F;;;;;;FSPryotis
Kwambonambi;Kwazulu-Natal;;;root;D;F;;;;;;  B dothidea
Kwambonambi;Kwazulu-Natal;;;bark;A;F;;;;;;  B dothidea
Safcol cape nursery;;Pinus;radiata;Seed;D;FNF;;;;;;F cir
;;NA;;Soil;D;F;;;;;;p irregularae
Lilydale;;Eucalyptu;nitens;Seed;D;FNF;;;;;;C gleosporiodes, Glomerella sp
NA;;Pinus;patula;Seed;D;FNF;;;;;;saprohytes
Ixopo;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;F cir
;;Pinus;greggi;Seed;D;FNF;;;;;;Fusarium
;;Pinus;;Seed;D;F;;;;;;Fusarium
De Kaap;;Eucalyptu;;;D;F;;;;;;  B dothidea
Safcol cape nursery;;Pinus;radiata;Seed;D;FNF;;;;;;NA
;;NA;;Soil,;D;F;;;;;;NA
;;Pinus;patula;insect;A;F;;;;;;NA
iswepe;Kwazulu-Natal;Acacia;decurrens;Seed,root,foliage;A;F;;;;;;NA
NA;;Eucalyptu;macarthuri;Seed,root;D;F;;;;;;Phytophthora
;;Pinus;;Seed;D;FNF;;;;;;Fusarium
;;Pinus;;Seed;D;FNF;;;;;;Fusarium
Piet Retief;;Pinus;elliotti;Seed;D;FNF;;;;;;Fusarium
Piet Retief;;Pinus;;Cuttings;D;FNF;;;;;;Fusarium
;;Acacia;mearnsii;;D;F;;;;;;  B dothidea
;;Pinus;;Seed;D;FNF;;;;;;Fusarium
NA;Kwazulu-Natal;Eucalyptu;nitens;Seed;D;F;;;;;;Pantoea sp   
Ngodwana;Kwazulu-Natal;Pinus;patula;Soil,root,foliage;D;FNF;;;;;;Fusarium
Ngodwana;Kwazulu-Natal;Pinus;patula;Soil,Seed,root,leaves;D;FNF;;;;;;Fusarium
Ngodwana;Kwazulu-Natal;Pinus;patula;Soil,Seed,root,leaves;D;FNF;;;;;;Fusarium
NA;Kwazulu-Natal;Eucalyptu;nitens;foliage;D;F;;;;;;Mycosphaerella
NA;Gauteng;NA;;Seed;D;F;;;;;;Collectotrichium sp, Drechsler sp
Kwambonambi;Kwazulu-Natal;; W1604;Hedge;D;F;;;;;;  B dothidea
Kwambonambi;Kwazulu-Natal;; W96;Hedge;D;F;;;;;;  B dothidea
Greytown;;Acacia;mearnsii;Seed,Soil;D;FNF;;;;;;Cylindrocladiumsp
Taurus plntation baberton;;Pinus;patula;;D;F;;;;;;Phytophthora,Pythium
Scottsville;Kwazulu-Natal;Pinus;patula;Cuttings, Seed;D;FNF;;;;;;Fusarium, Pestalotiopsis
Tzaneen;;Pinus;;NA;D;F;;;;;; trichoderma sp
;;Eucalyptu;grandi;root;D;F;;;;;;Pantoea sp    sp
;;;;Seed,root,Soil;D;F;;;;;;Fusarium,Phytophthora,Pythium irregulare
;;;NA;leaves;D;F;;;;;;Pantoea sp    sp
;;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
;;Eucalyptu;NA;Soil, collar,Seed;D;F;;;;;;Pythium,Phytophthora,FSPrysphearia
Loius Trichardt;;Pinus;patula;Seed;D;F;;;;;;S sapinea
Loius Trichardt;;Pinus;patula;Seed;D;F;;;;;;S sapinea
Loius Trichardt;;Pinus;patula;Seed;D;F;;;;;;S sapinea
Loius Trichardt;;Pinus;patula;Seed;D;F;;;;;;S sapinea
Loius Trichardt;;Pinus;patula;Seed;D;F;;;;;;S sapinea
Loius Trichardt;;Pinus;patula;Seed;D;F;;;;;;Pythium
Loius Trichardt;;Pinus;elliotti;Seed;D;F;;;;;;Pythium
Kwambonambi;Kwazulu-Natal;NA;;Seed,foliage;D;F;;;;;;Pantoea sp    sp, Phaeophleopspora sp
NA;Kwazulu-Natal;Pinus;patula;Seed,Soil, tray;D;FNF;;;;;;Fusarium
Sjonajona;;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
NA;;Pinus;elliotti,patulaxgreggi;Seed;D;F;;;;;;Fusarium
Dukuduku;Kwazulu-Natal;Pinus;;Hedge;D;F;;;;;;Fusarium, Pessoides
NA;Gauteng;;grandi;root;D;F;;;;;;F oxy,F oxysporum  var redolens
A Taylor Nuersery;;;;NA;D;FNF;;;;;;F oxy
A Taylor Tilley Block;;;;Seed, root;D;FNF;;;;;;F oxy
C Newby;;;;;A;FNF;;;;;;  Pestalotiopsis
Donny Brook;;;;Seed;D;F;;;;;;Pantoea sp    sp
Kwambonambi;Kwazulu-Natal;;54;foliage,Seed;D;FNF;;;;;;Pantoea sp    sp, Phaeophleopsis sp,Mycosphaerellasp
iswepe;Kwazulu-Natal;Eucalyptu;taeda;Soil,root;D;F;;;;;;Phytophthora
iswepe;Kwazulu-Natal;Eucalyptu;NA;Soil,root;D;F;;;;;;Pythium
Nyalazi;Kwazulu-Natal;;;foliage,Seed;D;F;;;;;;FSPrysphearia
Teza;Kwazulu-Natal;;505;foliage,Seed;D;F;;;;;;NA
Derby Erasmus Farm;;;;Soil,root;D;F;;;;;;Pythium
NA;Kwazulu-Natal;;;leaves, Seed;D;F;;;;;;Pantoea sp    sp
NA;Kwazulu-Natal;;9;leaves, Seed;D;F;;;;;;Pantoea sp    sp
NA;Kwazulu-Natal;;610;leaves, Seed;D;F;;;;;;Pantoea sp    sp
;;Pinus;patula;;D;FNF;;;;;;F sub
NA;;;1;Seed,leaves;D;FNF;;;;;;FSPrysphearia
Berlin plantation;;Pinus;taeda;foliage;D;F;;;;;;NA
Usuthu;Kwazulu-Natal;Pinus;;Seed;D;F;;;;;;S sapinea
Lenjani;;Acacia;decurrens;Seed;D;F;;;;;;FSPrysphearia
;;;NA;Seed, leaves;D;F;;;;;;FSPrysphearia
;;;96;Seed, leaves;D;F;;;;;;Pantoea sp    sp
;;;66;Seed, leaves;D;F;;;;;;Pantoea sp    sp
Kluitiskraal;;Pinus;radiata;root;D;F;;;;;;NA
NA;Kwazulu-Natal;; W1604;Soil,leaves,Seed,root;D;F;;;;;;NA
;;Pinus;patula;Cuttings;D;FNF;;;;;;Fusarium
Ngodwana;Kwazulu-Natal;Pinus;patula;Cuttings;D;FNF;;;;;;Fusarium
Ngodwana;Kwazulu-Natal;Pinus;patula;Cuttings;D;FNF;;;;;;NA
Ngodwana;Kwazulu-Natal;Pinus;patula;Cuttings;A;FNF;;;;;;-0
;;Eucalyptu;macarthuri;Seed;D;FNF;;;;;;Pythium,Fusarium
Ngodwana;Kwazulu-Natal;Pinus;;Seed,root;D;F;;;;;;S sapinea
Ngodwana;Kwazulu-Natal;Pinus;;Seed,root,Seed;D;F;;;;;;Pythium
Ngodwana;Kwazulu-Natal;Pinus;;Seed,Seed,Seed;A;F;;;;;;-0
;;Pinus;;Seed,foliage,root;A;F;;;;;;saprohytes
Ngodwana;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;F sub
;;NA;;;D;F;;;;;;F sub
Highflats plantation;;Eucalyptu;grandi;Seed,foliage;D;F;;;;;;Mycosphaerella,Cylindrocladiumsp
NA;;;1;Cuttings;D;FNF;;;;;;Collectrichum
;;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
;;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
Commondale;Kwazulu-Natal;Acacia;mearnsii;Seed,foliage;D;F;;;;;;Fusarium,Phytophthora,Pythium
;;Pinus;patula;Graft;D;F;;;;;;F sub
;;Acacia;mearnsii;Soil,Seed,root,leaves,Seed;D;F;;;;;;Phytophthora
;;Acacia;mearnsii;Seed;D;F;;;;;;Fusarium,Pythium,Phytophthora
;;;NA;;D;F;;;;;;Phytophthora
Ngodwana;Kwazulu-Natal;Pinus;patula;root,Seed;D;F;;;;;;F sub
;;;grandi;Seed,root;D;F;;;;;;F oxy
;;NA;;flowers,Seed;D;F;;;;;;Fusarium
;;Eucalyptu;dunni;Seed;D;FNF;;;;;;Fusarium
;;NA;;;D;F;;;;;;Fusarium,Collectrichum, Drechsler sp
NA;Kwazulu-Natal;Pinus;patula;NA;D;F;;;;;;Rhizinia undulata
Howick;Kwazulu-Natal;Pinus;;root;D;F;;;;;;NA
Shaw Reseaerch centre;;Pinus;;root,cones;D;F;;;;;;S sapinea,  Pestalotiopsis
Shaw Reseaerch centre;;Pinus;;root,cones;D;F;;;;;;penicillium, Pestalotiopsis
Shaw Reseaerch centre;;Pinus;;root,cones;D;F;;;;;;penicillium, Pestalotiopsis, Phomopsis
;;Acacia;mearnsii;Seed;D;FNF;;;;;;Fusarium
;;Eucalyptu;NA;Cuttings;D;FNF;;;;;;Cylindrocladium
;;Acacia;taeda;Seed;D;FNF;;;;;;FSP sp
Kwambonambi;Kwazulu-Natal;;10;leaves,Cuttings;D;F;;;;;;Mycosphaerella, FSP
NA;;Pinus;;log;D;F;;;;;;S sapinea
Lenjane;NA;Acacia;mearnsii;Seed;D;F;;;;;;FSP sp
Biotech lab-safcol;;;;NA;D;F;;;;;;Mucor sp,penicillium
NA;Kwazulu-Natal;Eucalyptu;grandi;root;D;F;;;;;;Phytophthora &Pythium
NA;Kwazulu-Natal;;NA;root;D;F;;;;;;FSP
;;;NA;Soil,Seed,leaves,Seed;D;FNF;;;;;;Fusarium
klipkraal;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;F cir
Kwambonambi;Kwazulu-Natal;;5;Seed;D;FNF;;;;;;Mycosphaerella, Pestalotia,Harknessia
Kwambonambi;Kwazulu-Natal;;;Seed;D;FNF;;;;;;B cinerea
;;;;Cuttings;D;F;;;;;;B cinerea,  Alternaria,Mycosphaerella, Phomopsis
;;;5 ;Cuttings;D;F;;;;;;Mycosphaerella,Harknessia, Pestalotiopsis
;;; ;Cuttings;D;F;;;;;;Cylindrocladium,Collectrichum
;Kwazulu-Natal;Pinus;;Seed;D;FNF;;;;;;Fusarium
klipkraal;;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
;;Eucalyptu;NA;Soil,Seed,root,Seed;D;FNF;;;;;;Phytophthora &Pythium
Shaw research centre;Kwazulu-Natal;Pinus;;root,cones;D;F;;;;;; Alternaria,penicillium, Pestalotiopsis, Aspergillus
Hinze;Kwazulu-Natal;Eucalyptu;NA;Soil,Seed;D;FNF;;;;;;Phytophthora &Pythium
NA;NA;;;root,Soil;D;F;;;;;;Phytophthora
vryheid-harding;;Eucalyptu;;Seed;D;F;;;;;;Basidiomycetess
Commondale;Kwazulu-Natal;Acacia;mearnsii;;D;F;;;;;;NA
Commondale;Kwazulu-Natal;Pinus;;;D;F;;;;;;S sapinea
Tweedie;;Pinus;patula;Seed;D;FNF;;;;;;F cir
Tweedie;;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
;;;;Soil,root;D;F;;;;;;FSP,Pythium
;;;;Cuttings;D;FNF;;;;;;NA
;;;10, 0,,60,;Cuttings;D;F;;;;;;Cylindrocladium,Collectrichum,Mycosphaerella,  Pestalotiopsis, Alternaria,Harknessia
Howick;Kwazulu-Natal;Pinus;;root,cones;D;F;;;;;;Fusarium, Aspergillus,FSPpharopsis,  Alternaria
klipkraal;Kwazulu-Natal;Pinus;patula;root;D;FNF;;;;;;F cir
Tweefontien;;Pinus;;Graft;D;F;;;;;;S sapinea
Mtunzini;Kwazulu-Natal;;14;Seed;D;F;;;;;;Pantoea sp    sp
Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Cuttings;D;FNF;;;;;;F cir
Cramond;;;;NA;A;F;;;;;;Fusarium
;;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
;Kwazulu-Natal;Acacia;mearnsii;NA;D;F;;;;;;NA
Loneridge plantation;;Eucalyptu;NA;;D;FNF;;;;;;P anananatis
Kwambonambi;Kwazulu-Natal;Eucalyptu;;Seed,Branch;D;F;;;;;;FSP sp
Piesanhoek;;Pinus;;Seed;D;FNF;;;;;;S sapinea
;;;6;NA;D;F;;;;;;FSP
;;Eucalyptu;;bark;D;F;;;;;; Conithyrium
;;Eucalyptu;greggi;;D;F;;;;;;P anananatis
NA;Kwazulu-Natal;Pinus;patula;Soil,root,Seed;D;FNF;;;;;;-0
;;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
;;Pinus;;Seed;D;FNF;;;;;;Fusarium
;;Eucalyptu;;Seed,Branch;D;F;;;;;;-0
;;Eucalyptu;;Seed,leaves;D;F;;;;;;Mycosphaerella,Pantoea sp     sp, Phaeophleopspora sp
NA;Kwazulu-Natal;;4;root,Soil,foliage;D;F;;;;;;Pantoea sp    sp
Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;F sub
Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;F sub
NA;Mpumalanga;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
Kwambonambi;Kwazulu-Natal;;;foliage;D;F;;;;;;NA
;;;grandi;Graft;D;F;;;;;;NA
;;Pinus;;Seed;D;FNF;;;;;;F cir
;;Acacia;mearnsii;Cuttings;D;FNF;;;;;;NA
Howick;;;;Seed;D;F;;;;;;NA
NA;NA;Acacia;mearnsii;Seed, Seed;D;F;;;;;;NA
NA;NA;Eucalyptu;NA;Seed, Seed;D;F;;;;;;FSP sp
NA;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;Fusarium
NA;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
;Kwazulu-Natal;Pinus;patula;Soil,Seed,root,leaves,Seed;D;FNF;;;;;;NA
Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Cuttings;D;F;;;;;;F cir
Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Cuttings;D;F;;;;;;Fusarium
Ngodwana nursery;Kwazulu-Natal;Pinus;patula;Cuttings;D;F;;;;;;F cir
Ngodwana nursery;Kwazulu-Natal;Pinus;greggi;Seed;D;FNF;;;;;;NA
Ngodwana nursery;Kwazulu-Natal;Pinus;greggi;Seed;D;FNF;;;;;;F sub
Ngodwana nursery;Kwazulu-Natal;Pinus;greggi;Seed;A;FNF;;;;;;-0
Ngodwana nursery;Kwazulu-Natal;Eucalyptu;nitens;Seed;D;FNF;;;;;;-0
Kwambonambi;Kwazulu-Natal;Pinus;caribaeae var hondurensdis;foliage;D;F;;;;;;S sapinea
Highflats;;Pinus;patula;Soil,Seed,root,leaves;D;F;;;;;;S sapinea
Ngodwana nursery;Kwazulu-Natal;Eucalyptu;nitens;Seed;D;FNF;;;;;;NA
;;NA;;leaves;D;F;;;;;;Fusarium
;;Eucalyptu;NA;Seed;D;FNF;;;;;;Pythium
NA;Kwazulu-Natal;Pinus;patula;Soil,Seed,root,Seed;D;F;;;;;;S sapinea
Highflats;Kwazulu-Natal;Pinus;patula;Soil,Seed,root,Seed;D;F;;;;;;S sapinea
Safcol research office;;Pinus;;NA;D;F;;;;;;NA
Piet Retief;Mpumalanga;Eucalyptu;dunni;coppice;D;F;;;;;;FSP,Phytophthora
NA;Kwazulu-Natal;Pinus;patula;Seed;D;FNF;;;;;;S sapinea
NA;Kwazulu-Natal;;;Water;D;F;;;;;;saprohytes
NA;NA;Acacia;mearnsii;Seed,Seed;D;F;;;;;;FSP sp
Hinze;Kwazulu-Natal;Eucalyptu;NA;Seed;D;F;;;;;;FSP sp
;;Eucalyptu;nitens;Seed;D;F;;;;;; Conithyrium,FSP
;;Eucalyptu;NA;log;D;F;;;;;;FSP sp
NA;Kwazulu-Natal;Pinus;patula;SoilSeed;D;FNF;;;;;;S sapinea
